Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Angola,1,206490050,"SWN OFL,FZ,RIND",0,0,0,0,0,0,0,0,0,39,,US,AO,206490050,
Angola,2,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,0,0,0,25,0,,US,AO,206490010,
Thailand,1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,0,0,0,0,0,37,,US,TH,206490090,
Benin,1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,0,0,0,0,0,30,,US,BN,206490090,
Jamaica,1,206410000,"SWN LVR,ED,FZ",0,0,0,0,0,0,0,0,0,14,,US,JM,206410000,
Jamaica,2,206490090,"SWN OFL,FZ,OTHER",65,180,357,19,0,217,35,31,30,0,,US,JM,206490090,
Israel(*),1,206490020,"SWN OFL,FZ,HEART",0,0,0,0,0,0,0,0,0,11,,US,IS,206490020,
Slovenia,1,206490040,"SWN OFL,FZ,HDMT",0,0,0,0,0,0,0,0,0,7,,US,SI,206490040,
France(*),1,206490020,"SWN OFL,FZ,HEART",0,0,0,0,0,0,0,0,0,5,,US,FR,206490020,
Marshall Islands,1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,0,0,0,0,4,3,-20,US,RM,206490090,
Micronesia,1,206490090,"SWN OFL,FZ,OTHER",13,0,0,0,0,0,89,97,3,3,11,US,FM,206490090,
"Other Pacific Islands, NEC(*)",1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,0,0,0,0,0,3,,US,Z7,206490090,
United Arab Emirates,1,206410000,"SWN LVR,ED,FZ",0,0,0,10,0,0,0,0,0,0,,US,AE,206410000,
United Arab Emirates,2,206490010,"SWN OFL,FZ,TNGUE",0,0,0,55,0,0,0,0,0,0,,US,AE,206490010,
United Arab Emirates,3,206490090,"SWN OFL,FZ,OTHER",0,0,0,9,0,0,0,0,0,0,,US,AE,206490090,
Afghanistan,1,206490090,"SWN OFL,FZ,OTHER",13,0,0,109,0,0,0,0,0,0,,US,AF,206490090,
Austria,1,206490020,"SWN OFL,FZ,HEART",0,0,0,0,0,0,0,0,8,0,,US,AU,206490020,
Austria,2,206490050,"SWN OFL,FZ,RIND",0,0,0,9,0,0,0,0,0,0,,US,AU,206490050,
Bermuda,1,206490090,"SWN OFL,FZ,OTHER",0,3,0,0,602,0,0,0,3,0,,US,BD,206490090,
Belgium-Luxembourg(*),1,206490050,"SWN OFL,FZ,RIND",0,23,0,0,0,0,0,0,0,0,,US,BE,206490050,
Belize,1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,0,31,0,0,0,0,,US,BH,206490090,
Brazil,1,206490040,"SWN OFL,FZ,HDMT",0,0,0,0,3,0,0,0,0,0,,US,BR,206490040,
Congo (Kinshasa),1,206490090,"SWN OFL,FZ,OTHER",0,0,0,160,0,0,0,0,0,0,,US,CG,206490090,
Cayman Islands,1,206490030,"SWN OFL,FZ,FEET",0,0,0,0,0,6,0,0,5,0,,US,CJ,206490030,
Cayman Islands,2,206490050,"SWN OFL,FZ,RIND",0,0,0,0,0,3,0,0,23,0,,US,CJ,206490050,
Cayman Islands,3,206490090,"SWN OFL,FZ,OTHER",0,0,16,0,0,0,0,0,0,0,,US,CJ,206490090,
Denmark,1,206490040,"SWN OFL,FZ,HDMT",0,19,0,0,0,0,0,0,0,0,,US,D1,206490040,
Ecuador,1,206490050,"SWN OFL,FZ,RIND",23,0,0,0,0,0,0,0,0,0,,US,EC,206490050,
Ecuador,2,206490090,"SWN OFL,FZ,OTHER",0,0,29,0,0,0,0,0,0,0,,US,EC,206490090,
Egypt,1,206490030,"SWN OFL,FZ,FEET",0,0,0,22,0,0,0,0,0,0,,US,EG,206490030,
Ireland,1,206490050,"SWN OFL,FZ,RIND",0,0,0,0,14,0,0,0,0,0,,US,EI,206490050,
Ireland,2,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,7,0,0,0,0,0,,US,EI,206490090,
Georgia,1,206490020,"SWN OFL,FZ,HEART",0,0,0,0,77,0,0,0,0,0,,US,GG,206490020,
Germany,1,206490040,"SWN OFL,FZ,HDMT",0,0,0,17,0,0,0,0,0,0,,US,GM,206490040,
Italy(*),1,206490050,"SWN OFL,FZ,RIND",12,0,0,0,132,0,0,0,0,0,,US,IT,206490050,
Italy(*),2,206490090,"SWN OFL,FZ,OTHER",7,40,0,0,0,0,0,0,0,0,,US,IT,206490090,
Libya,1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,24,0,0,0,0,0,,US,LY,206490090,
Macau,1,206490030,"SWN OFL,FZ,FEET",49,0,0,0,0,0,0,0,0,0,,US,MC,206490030,
