Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Trinidad and Tobago,1,203194000,"SWN MT,FR/CH",38,56,57,54,65,36,83,126,75,154,104,US,TD,203194000,
Trinidad and Tobago,2,203110000,"SWN CRC,FR,CH",0,33,0,0,27,0,0,0,0,153,,US,TD,203110000,
Trinidad and Tobago,3,203192000,"SWN MT,PRC,FR,CH",252,281,128,154,52,0,21,45,5,9,96,US,TD,203192000,
Trinidad and Tobago,4,203121000,"HM,SH,PRC,FR,CH",108,27,88,57,42,146,0,3,0,0,,US,TD,203121000,
Trinidad and Tobago,5,203129000,"HM/SH X PC,FR,CH",338,413,191,98,83,43,0,0,0,0,,US,TD,203129000,
Singapore,1,203192000,"SWN MT,PRC,FR,CH",100,181,64,90,285,196,222,843,577,223,-61,US,SN,203192000,
Singapore,2,203194000,"SWN MT,FR/CH",15,421,207,162,258,100,0,35,0,25,,US,SN,203194000,
Singapore,3,203110000,"SWN CRC,FR,CH",0,0,0,0,0,0,49,0,0,0,,US,SN,203110000,
Singapore,4,203121000,"HM,SH,PRC,FR,CH",0,12,20,0,0,0,147,0,0,0,,US,SN,203121000,
Singapore,5,203129000,"HM/SH X PC,FR,CH",0,51,0,0,0,0,10,0,0,0,,US,SN,203129000,
Turks and Caicos Islands,1,203192000,"SWN MT,PRC,FR,CH",0,42,0,13,13,20,56,31,91,131,44,US,TK,203192000,
Turks and Caicos Islands,2,203194000,"SWN MT,FR/CH",12,77,65,55,0,70,24,66,19,76,293,US,TK,203194000,
Turks and Caicos Islands,3,203129000,"HM/SH X PC,FR,CH",8,14,9,21,113,26,21,20,25,39,56,US,TK,203129000,
Turks and Caicos Islands,4,203121000,"HM,SH,PRC,FR,CH",19,28,56,20,11,0,0,0,0,0,,US,TK,203121000,
Paraguay,1,203194000,"SWN MT,FR/CH",11,0,0,275,463,216,295,260,176,195,11,US,PA,203194000,
Paraguay,2,203110000,"SWN CRC,FR,CH",0,0,63,0,0,0,0,0,0,0,,US,PA,203110000,
Barbados,1,203194000,"SWN MT,FR/CH",0,0,51,36,48,14,52,136,116,89,-24,US,BB,203194000,
Barbados,2,203192000,"SWN MT,PRC,FR,CH",0,0,3,0,0,13,19,26,63,71,12,US,BB,203192000,
Barbados,3,203129000,"HM/SH X PC,FR,CH",21,0,0,0,0,7,0,0,13,11,-14,US,BB,203129000,
Barbados,4,203121000,"HM,SH,PRC,FR,CH",0,0,6,0,0,0,0,0,0,0,,US,BB,203121000,
Bahrain,1,203192000,"SWN MT,PRC,FR,CH",6,10,0,0,0,60,3,21,286,150,-48,US,BA,203192000,
Bahrain,2,203110000,"SWN CRC,FR,CH",0,0,0,0,0,0,0,0,0,17,,US,BA,203110000,
Venezuela,1,203194000,"SWN MT,FR/CH",0,0,0,0,3,0,0,161,318,136,-57,US,VE,203194000,
Venezuela,2,203110000,"SWN CRC,FR,CH",0,0,0,0,0,9,0,0,0,0,,US,VE,203110000,
Venezuela,3,203129000,"HM/SH X PC,FR,CH",0,0,0,0,0,0,0,8,0,0,,US,VE,203129000,
Venezuela,4,203192000,"SWN MT,PRC,FR,CH",0,0,0,0,0,47,0,0,0,0,,US,VE,203192000,
Belize,1,203121000,"HM,SH,PRC,FR,CH",0,232,146,162,49,75,136,45,25,69,172,US,BH,203121000,
Belize,2,203194000,"SWN MT,FR/CH",119,31,36,53,136,89,7,0,13,52,313,US,BH,203194000,
Belize,3,203129000,"HM/SH X PC,FR,CH",124,11,6,0,21,30,0,38,38,3,-93,US,BH,203129000,
Belize,4,203192000,"SWN MT,PRC,FR,CH",0,35,10,9,0,0,5,0,3,0,,US,BH,203192000,
Philippines,1,203194000,"SWN MT,FR/CH",0,20,171,114,859,410,112,0,21,99,375,US,RP,203194000,
Philippines,2,203110000,"SWN CRC,FR,CH",0,0,0,0,0,68,0,0,35,0,,US,RP,203110000,
Philippines,3,203121000,"HM,SH,PRC,FR,CH",0,6,64,44,0,0,0,96,0,0,,US,RP,203121000,
Philippines,4,203129000,"HM/SH X PC,FR,CH",0,0,57,21,89,0,498,98,19,0,,US,RP,203129000,
Philippines,5,203192000,"SWN MT,PRC,FR,CH",0,0,0,0,0,0,0,183,45,0,,US,RP,203192000,
Nigeria,1,203194000,"SWN MT,FR/CH",16,13,0,42,0,0,0,0,0,73,,US,NI,203194000,
South Africa,1,203121000,"HM,SH,PRC,FR,CH",0,0,0,0,0,0,0,0,0,71,,US,SF,203121000,
Malaysia,1,203192000,"SWN MT,PRC,FR,CH",0,0,0,0,0,0,0,0,0,64,,US,MY,203192000,
Malaysia,2,203194000,"SWN MT,FR/CH",0,0,0,0,65,40,0,0,0,4,,US,MY,203194000,
Malaysia,3,203110000,"SWN CRC,FR,CH",0,0,0,0,0,0,0,30,0,0,,US,MY,203110000,
Malaysia,4,203121000,"HM,SH,PRC,FR,CH",0,0,0,0,0,0,0,0,23,0,,US,MY,203121000,
Malaysia,5,203129000,"HM/SH X PC,FR,CH",0,0,0,0,107,135,81,0,0,0,,US,MY,203129000,
Taiwan,1,203192000,"SWN MT,PRC,FR,CH",0,0,4,31,185,230,0,0,453,66,-85,US,TW,203192000,
Taiwan,2,203121000,"HM,SH,PRC,FR,CH",0,0,7,0,0,0,0,0,0,0,,US,TW,203121000,
Taiwan,3,203129000,"HM/SH X PC,FR,CH",124,0,0,4,631,63,0,0,0,0,,US,TW,203129000,
Taiwan,4,203194000,"SWN MT,FR/CH",180,114,125,164,110,120,0,0,352,0,,US,TW,203194000,
Netherlands,1,203194000,"SWN MT,FR/CH",210,0,75,3,16,169,230,71,322,59,-82,US,NL,203194000,
Netherlands,2,203192000,"SWN MT,PRC,FR,CH",0,32,0,9,25,0,3,8,5,3,-51,US,NL,203192000,
Netherlands,3,203121000,"HM,SH,PRC,FR,CH",13,0,106,109,4,0,0,0,0,0,,US,NL,203121000,
Netherlands,4,203129000,"HM/SH X PC,FR,CH",595,44,369,101,0,104,0,0,5,0,,US,NL,203129000,
Uruguay,1,203194000,"SWN MT,FR/CH",59,0,329,302,147,0,0,0,0,60,,US,UY,203194000,
Uruguay,2,203110000,"SWN CRC,FR,CH",0,15,0,0,0,0,0,0,0,0,,US,UY,203110000,
Uruguay,3,203121000,"HM,SH,PRC,FR,CH",0,30,23,0,0,0,0,0,0,0,,US,UY,203121000,
Uruguay,4,203192000,"SWN MT,PRC,FR,CH",138,0,0,0,0,0,0,5,0,0,,US,UY,203192000,
French Pacific Islands(*),1,203192000,"SWN MT,PRC,FR,CH",69,75,52,41,58,55,46,78,199,54,-73,US,Z1,203192000,
French Pacific Islands(*),2,203194000,"SWN MT,FR/CH",3,0,52,0,23,0,13,4,0,0,,US,Z1,203194000,
