Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Netherlands,1,,"Pork, Fr/Ch/Fz","2,526","2,580","1,573","1,838",652,"1,118","1,296","1,058","1,010",816,-19,US,NL,0603AT,
Macau,1,,"Pork, Fr/Ch/Fz",167,105,0,120,222,0,119,318,680,708,4,US,MC,0603AT,
Palau,1,,"Pork, Fr/Ch/Fz",159,315,447,793,674,586,805,482,604,706,17,US,PS,0603AT,
Samoa,1,,"Pork, Fr/Ch/Fz",234,317,397,524,739,541,659,809,926,591,-36,US,WS,0603AT,
North Macedonia,1,,"Pork, Fr/Ch/Fz",0,0,281,155,0,"2,963",0,0,88,554,528,US,MK,0603AT,
"Other Pacific Islands, NEC(*)",1,,"Pork, Fr/Ch/Fz",65,279,328,349,377,196,255,94,337,522,55,US,Z7,0603AT,
"Gambia, The",1,,"Pork, Fr/Ch/Fz",0,0,68,28,0,0,0,0,0,418,,US,GA,0603AT,
South Africa,1,,"Pork, Fr/Ch/Fz",40,206,93,230,5,56,21,59,614,411,-33,US,SF,0603AT,
Gabon,1,,"Pork, Fr/Ch/Fz",0,0,140,0,156,257,316,352,266,323,21,US,GB,0603AT,
Venezuela,1,,"Pork, Fr/Ch/Fz",7,0,0,7,45,60,16,677,829,290,-65,US,VE,0603AT,
Italy(*),1,,"Pork, Fr/Ch/Fz",200,845,737,523,518,416,662,169,19,248,"1,190",US,IT,0603AT,
Angola,1,,"Pork, Fr/Ch/Fz",0,0,374,0,20,54,247,192,341,245,-28,US,AO,0603AT,
United Arab Emirates,1,,"Pork, Fr/Ch/Fz",383,"1,323",602,"1,409","1,100","1,332",960,"3,098","2,885",235,-92,US,AE,0603AT,
Congo (Kinshasa),1,,"Pork, Fr/Ch/Fz",0,0,225,0,0,0,0,0,0,225,,US,CG,0603AT,
Iraq,1,,"Pork, Fr/Ch/Fz",0,20,0,0,0,9,7,51,69,208,199,US,IZ,0603AT,
Egypt,1,,"Pork, Fr/Ch/Fz",188,155,231,73,119,0,12,183,241,202,-16,US,EG,0603AT,
Paraguay,1,,"Pork, Fr/Ch/Fz",23,0,75,275,463,216,295,260,180,195,8,US,PA,0603AT,
Qatar,1,,"Pork, Fr/Ch/Fz",0,0,0,152,0,0,0,0,0,186,,US,QA,0603AT,
Bahrain,1,,"Pork, Fr/Ch/Fz",34,69,110,71,33,70,70,423,319,181,-43,US,BA,0603AT,
Sierra Leone,1,,"Pork, Fr/Ch/Fz",0,0,0,6,0,0,0,0,32,178,454,US,SL,0603AT,
Oman,1,,"Pork, Fr/Ch/Fz",0,12,0,55,0,0,28,0,120,156,30,US,MU,0603AT,
France(*),1,,"Pork, Fr/Ch/Fz",153,60,48,14,86,66,7,19,0,154,,US,FR,0603AT,
Suriname,1,,"Pork, Fr/Ch/Fz",19,22,20,71,40,95,113,371,155,140,-10,US,NS,0603AT,
Denmark,1,,"Pork, Fr/Ch/Fz",81,110,35,36,175,0,0,34,0,90,,US,D1,0603AT,
Congo (Brazzaville),1,,"Pork, Fr/Ch/Fz",0,0,125,29,194,108,0,0,0,87,,US,CF,0603AT,
Equatorial Guinea,1,,"Pork, Fr/Ch/Fz",271,325,300,172,188,162,157,220,80,83,5,US,EK,0603AT,
Turkey,1,,"Pork, Fr/Ch/Fz",0,58,0,0,0,0,7,13,28,80,188,US,TU,0603AT,
Argentina,1,,"Pork, Fr/Ch/Fz",0,0,114,63,42,147,43,35,32,76,139,US,AR,0603AT,
Nigeria,1,,"Pork, Fr/Ch/Fz",16,43,61,56,77,0,0,0,0,73,,US,NI,0603AT,
Uruguay,1,,"Pork, Fr/Ch/Fz",241,69,389,381,231,228,10,20,32,71,119,US,UY,0603AT,
Spain,1,,"Pork, Fr/Ch/Fz",533,596,341,477,137,3,32,28,26,70,168,US,SP,0603AT,
Cambodia,1,,"Pork, Fr/Ch/Fz",30,0,0,195,70,74,0,5,136,68,-50,US,CB,0603AT,
Saudi Arabia,1,,"Pork, Fr/Ch/Fz",0,0,0,0,4,6,304,724,760,65,-91,US,SA,0603AT,
Somalia,1,,"Pork, Fr/Ch/Fz",0,0,0,0,13,0,0,0,0,52,,US,SO,0603AT,
Mayotte,1,,"Pork, Fr/Ch/Fz",24,0,0,0,0,0,0,0,0,45,,US,MF,0603AT,
Mauritius,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,0,3,0,36,37,4,US,MP,0603AT,
French Guiana,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,0,0,0,0,32,,US,FG,0603AT,
Jamaica,1,,"Pork, Fr/Ch/Fz",298,48,192,43,116,76,53,114,491,32,-93,US,JM,0603AT,
Senegal,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,0,0,4,26,26,,US,SG,0603AT,
Greece,1,,"Pork, Fr/Ch/Fz",3,33,4,80,37,4,33,6,9,22,139,US,GR,0603AT,
Morocco,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,0,0,52,0,18,,US,MO,0603AT,
Namibia,1,,"Pork, Fr/Ch/Fz",269,0,0,53,0,0,0,0,0,15,,US,WA,0603AT,
Seychelles,1,,"Pork, Fr/Ch/Fz",11,0,4,21,9,0,0,0,17,15,-11,US,SE,0603AT,
Djibouti,1,,"Pork, Fr/Ch/Fz",15,3,6,22,0,11,35,29,34,14,-59,US,DJ,0603AT,
India,1,,"Pork, Fr/Ch/Fz",0,0,8,0,0,36,3,0,11,6,-49,US,IN,0603AT,
Kazakhstan,1,,"Pork, Fr/Ch/Fz",0,0,0,0,91,0,0,3,0,6,,US,KZ,0603AT,
French Ind. Ocean Territory(*),1,,"Pork, Fr/Ch/Fz",49,56,74,78,61,67,17,14,8,3,-60,US,X6,0603AT,
Hungary,1,,"Pork, Fr/Ch/Fz",0,0,7,8,0,0,0,0,0,3,,US,HU,0603AT,
Georgia,1,,"Pork, Fr/Ch/Fz",311,204,"1,186",27,454,"1,083",51,48,0,3,,US,GG,0603AT,
Thailand,1,,"Pork, Fr/Ch/Fz",0,12,52,0,35,85,16,54,71,3,-96,US,TH,0603AT,
Sri Lanka,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,3,10,11,0,3,,US,CE,0603AT,
Afghanistan,1,,"Pork, Fr/Ch/Fz",61,52,0,18,0,5,0,45,0,0,,US,AF,0603AT,
Azerbaijan,1,,"Pork, Fr/Ch/Fz",0,0,26,31,0,0,0,0,0,0,,US,AJ,0603AT,
Albania,1,,"Pork, Fr/Ch/Fz",824,693,"1,473","1,093","1,868","3,401",31,105,207,0,,US,AL,0603AT,
Armenia,1,,"Pork, Fr/Ch/Fz",0,0,109,0,0,0,0,0,0,0,,US,AM,0603AT,
Austria,1,,"Pork, Fr/Ch/Fz",0,58,11,0,67,0,0,0,0,0,,US,AU,0603AT,
Bangladesh,1,,"Pork, Fr/Ch/Fz",0,15,0,0,0,0,0,0,0,0,,US,BG,0603AT,
Bolivia,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,0,0,77,3,0,,US,BL,0603AT,
Burma,1,,"Pork, Fr/Ch/Fz",149,32,24,280,15,0,0,0,0,0,,US,BM,0603AT,
Brazil,1,,"Pork, Fr/Ch/Fz",3,27,119,92,27,8,41,50,10,0,,US,BR,0603AT,
Bulgaria,1,,"Pork, Fr/Ch/Fz",0,0,0,0,71,37,0,0,0,0,,US,BU,0603AT,
Central African Republic,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,0,0,36,0,0,,US,CT,0603AT,
Cyprus,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,4,0,14,0,0,,US,CY,0603AT,
Ireland,1,,"Pork, Fr/Ch/Fz",788,0,3,9,21,6,0,0,0,0,,US,EI,0603AT,
Estonia,1,,"Pork, Fr/Ch/Fz",0,0,0,0,32,0,0,0,0,0,,US,EN,0603AT,
Eritrea,1,,"Pork, Fr/Ch/Fz",50,0,0,0,0,0,0,0,0,0,,US,ER,0603AT,
Ethiopia(*),1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,3,0,0,0,0,,US,ET,0603AT,
Czech Republic,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,50,3,0,0,0,,US,EZ,0603AT,
Finland,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,11,0,0,0,0,,US,FI,0603AT,
Ghana,1,,"Pork, Fr/Ch/Fz",0,13,3,7,6,6,26,0,0,0,,US,GH,0603AT,
Greenland,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,0,0,0,14,0,,US,GL,0603AT,
